Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
2820.,37.85718,16.94182,37.87716,18.42681,17.02051,-18.84341,-37.23324
2830.,37.86468,16.94337,37.88456,18.42889,17.02213,-18.85085,-37.23156
2840.,37.87212,16.94494,37.89189,18.43099,17.02377,-18.85815,-37.22986
2850.,37.87948,16.94653,37.89914,18.43309,17.02542,-18.86532,-37.22816
2860.,37.88677,16.94813,37.90633,18.4352,17.02709,-18.87236,-37.22645
2870.,37.89399,16.94975,37.91345,18.43732,17.02877,-18.87927,-37.22474
2880.,37.90114,16.95138,37.9205,18.43946,17.03047,-18.88606,-37.22301
2890.,37.90823,16.95303,37.92748,18.4416,17.03219,-18.89272,-37.22128
2900.,37.91525,16.9547,37.9344,18.44375,17.03391,-18.89926,-37.21954
2910.,37.9222,16.95638,37.94125,18.44591,17.03566,-18.90568,-37.21779
2920.,37.92909,16.95807,37.94804,18.44807,17.03741,-18.91198,-37.21604
2930.,37.93591,16.95978,37.95477,18.45025,17.03918,-18.91816,-37.21428
2940.,37.94267,16.9615,37.96144,18.45243,17.04097,-18.92423,-37.21251
2950.,37.94937,16.96323,37.96804,18.45463,17.04276,-18.93018,-37.21074
2960.,37.95601,16.96498,37.97458,18.45683,17.04457,-18.93602,-37.20896
2970.,37.96258,16.96675,37.98106,18.45904,17.0464,-18.94174,-37.20717
2980.,37.9691,16.96852,37.98749,18.46125,17.04823,-18.94736,-37.20538
2990.,37.97556,16.97031,37.99385,18.46348,17.05008,-18.95287,-37.20358
3000.,37.98195,16.97211,38.00016,18.46571,17.05194,-18.95828,-37.20177
3010.,37.9883,16.97393,38.00641,18.46795,17.05381,-18.96358,-37.19996
3020.,37.99458,16.97575,38.0126,18.4702,17.0557,-18.96877,-37.19814
3030.,38.00081,16.97759,38.01874,18.47245,17.05759,-18.97386,-37.19632
3040.,38.00698,16.97944,38.02482,18.47471,17.0595,-18.97886,-37.19449
3050.,38.0131,16.98131,38.03085,18.47698,17.06141,-18.98375,-37.19266
3060.,38.01916,16.98318,38.03683,18.47925,17.06334,-18.98854,-37.19082
3070.,38.02517,16.98506,38.04276,18.48153,17.06528,-18.99324,-37.18897
3080.,38.03112,16.98696,38.04863,18.48382,17.06723,-18.99785,-37.18712
3090.,38.03703,16.98887,38.05445,18.48611,17.06919,-19.00236,-37.18527
3100.,38.04288,16.99078,38.06022,18.48841,17.07116,-19.00677,-37.18341
3110.,38.04868,16.99271,38.06594,18.49071,17.07314,-19.0111,-37.18154
3120.,38.05444,16.99465,38.07161,18.49302,17.07513,-19.01534,-37.17967
3130.,38.06014,16.9966,38.07723,18.49534,17.07713,-19.01948,-37.1778
3140.,38.06579,16.99856,38.08281,18.49766,17.07914,-19.02354,-37.17592
3150.,38.0714,17.00052,38.08834,18.49998,17.08116,-19.02752,-37.17404
3160.,38.07696,17.0025,38.09382,18.50232,17.08318,-19.03141,-37.17215
3170.,38.08247,17.00449,38.09925,18.50465,17.08522,-19.03521,-37.17026
3180.,38.08794,17.00648,38.10464,18.507,17.08727,-19.03893,-37.16837
3190.,38.09336,17.00849,38.10998,18.50934,17.08932,-19.04258,-37.16647
3200.,38.09873,17.0105,38.11528,18.51169,17.09138,-19.04614,-37.16456
3210.,38.10406,17.01252,38.12054,18.51405,17.09345,-19.04962,-37.16266
3220.,38.10935,17.01456,38.12575,18.51641,17.09553,-19.05302,-37.16075
3230.,38.11459,17.01659,38.13092,18.51878,17.09761,-19.05635,-37.15883
3240.,38.11979,17.01864,38.13604,18.52115,17.09971,-19.0596,-37.15692
3250.,38.12494,17.0207,38.14113,18.52352,17.10181,-19.06278,-37.15499
3260.,38.13006,17.02276,38.14617,18.5259,17.10392,-19.06588,-37.15307
3270.,38.13513,17.02483,38.15118,18.52828,17.10603,-19.06891,-37.15114
3280.,38.14017,17.02691,38.15614,18.53067,17.10816,-19.07186,-37.14921
3290.,38.14516,17.029,38.16107,18.53306,17.11029,-19.07475,-37.14728
3300.,38.15011,17.03109,38.16595,18.53545,17.11242,-19.07757,-37.14534
3310.,38.15503,17.03319,38.1708,18.53785,17.11457,-19.08032,-37.1434
3320.,38.1599,17.0353,38.17561,18.54025,17.11672,-19.083,-37.14146
3330.,38.16474,17.03742,38.18038,18.54266,17.11887,-19.08561,-37.13951
3340.,38.16954,17.03954,38.18511,18.54506,17.12104,-19.08816,-37.13756
3350.,38.1743,17.04166,38.18981,18.54747,17.12321,-19.09065,-37.13561
3360.,38.17902,17.0438,38.19447,18.54989,17.12538,-19.09307,-37.13366
3370.,38.18371,17.04594,38.19909,18.55231,17.12756,-19.09542,-37.1317
3380.,38.18837,17.04809,38.20368,18.55473,17.12975,-19.09772,-37.12975
3390.,38.19298,17.05024,38.20824,18.55715,17.13194,-19.09995,-37.12779
3400.,38.19756,17.0524,38.21276,18.55958,17.13414,-19.10212,-37.12582
3410.,38.20211,17.05456,38.21725,18.562,17.13634,-19.10424,-37.12386
3420.,38.20663,17.05673,38.2217,18.56443,17.13855,-19.10629,-37.12189
3430.,38.21111,17.05891,38.22612,18.56687,17.14077,-19.10829,-37.11992
3440.,38.21555,17.06109,38.23051,18.5693,17.14299,-19.11023,-37.11795
3450.,38.21997,17.06328,38.23486,18.57174,17.14521,-19.11211,-37.11598
3460.,38.22435,17.06547,38.23919,18.57418,17.14744,-19.11394,-37.114
